ACCOUNT_ID,FRAUD_PROBABILITY,PREDICTION,TRUE_LABEL
34538,0.9997219324111939,1,True
27770,0.9994941830635071,1,True
97546,0.9994464993476868,1,True
27807,0.999290931224823,1,True
56959,0.9992864608764649,1,True
7593,0.9992850303649903,1,True
57910,0.9992611885070801,1,True
14497,0.9991653442382813,1,True
86481,0.9991231441497803,1,True
74738,0.9991186141967774,1,True
56995,0.9990570425987244,1,True
45200,0.9990166306495667,1,True
97725,0.9989435553550721,1,True
97821,0.9988500356674195,1,True
94971,0.998799729347229,1,True
74935,0.9985673904418946,1,True
35942,0.998485553264618,1,True
25938,0.9984391212463379,1,True
56965,0.9981341943740845,1,True
76961,0.9980762586593628,1,True
86417,0.9979941234588623,1,True
34963,0.9979655132293701,1,True
46996,0.9979238495826721,1,True
16942,0.9979180083274841,1,True
5948,0.9979087696075439,1,True
37977,0.9978904709815979,1,True
87980,0.997889636516571,1,True
16986,0.9978885636329651,1,True
76982,0.9978710398674011,1,True
56920,0.9978567943572998,1,True
6938,0.9978561387062073,1,True
36989,0.997851966381073,1,True
36992,0.9978310451507568,1,True
96955,0.9978228197097778,1,True
6982,0.997816143989563,1,True
66985,0.9978157863616943,1,True
17984,0.997789321899414,1,True
94966,0.9977814540863037,1,True
76984,0.9977777585983276,1,True
27983,0.9977490291595459,1,True
47964,0.9976592645645141,1,True
15530,0.997630117893219,1,True
47912,0.9976074681282043,1,True
96876,0.9975452408790588,1,True
36904,0.9975388631820679,1,True
87691,0.9975277767181396,1,True
46499,0.9975251541137695,1,True
4992,0.9975091204643249,1,True
25989,0.9974646553993225,1,True
95645,0.9974419460296631,1,True
95867,0.9974111304283142,1,True
35841,0.9973868117332458,1,True
84348,0.9971592411994934,1,True
37777,0.9967346282005309,1,True
96390,0.9967337937355041,1,True
37872,0.9966990442276,1,True
67201,0.9966664404869079,1,True
97975,0.9965877027511596,1,True
75935,0.9965613574981689,1,True
6989,0.9965601058006286,1,True
76920,0.9965113492012023,1,True
87343,0.9965069980621337,1,True
86766,0.9964828581809997,1,True
14949,0.9964789838790893,1,True
27932,0.9964781494140624,1,True
47927,0.9964745731353759,1,True
16480,0.9964579434394836,1,True
44932,0.9964517445564269,1,True
55970,0.9964513869285583,1,True
66498,0.9964469761848449,1,True
97976,0.9964326710700988,1,True
64977,0.99639386844635,1,True
27984,0.9963913650512695,1,True
77996,0.9963708610534667,1,True
75989,0.9963681192398071,1,True
86895,0.9963672251701354,1,True
96869,0.9963669867515563,1,True
61979,0.9963507146835326,1,True
44915,0.9963408799171447,1,True
17801,0.9963289589881896,1,True
87989,0.9963265748023986,1,True
77408,0.9963261575698852,1,True
46994,0.9963242502212524,1,True
76983,0.9963161439895629,1,True
56890,0.9963045210838317,1,True
46999,0.9962997527122497,1,True
46986,0.9962995738983154,1,True
25959,0.9962955207824706,1,True
66952,0.9962895007133483,1,True
7818,0.9962775797843932,1,True
66567,0.9962772817611694,1,True
46513,0.9962768645286559,1,True
5712,0.9962375254631042,1,True
24704,0.9961956233978271,1,True
66736,0.9961762518882751,1,True
45989,0.9961757750511169,1,True
47846,0.9961756558418273,1,True
45998,0.9961630792617797,1,True
96937,0.9961518139839172,1,True
58999,0.9961408467292785,1,True
36749,0.9961157531738281,1,True
97947,0.9961028785705566,1,True
67497,0.9961019248962402,1,True
14622,0.9960977525711059,1,True
47935,0.9960966200828552,1,True
55883,0.9960861296653747,1,True
7981,0.9960654468536376,1,True
96406,0.9960560293197631,1,True
65983,0.9959964842796325,1,True
55962,0.9959847421646117,1,True
36925,0.9959727616310119,1,True
47515,0.9959597082138061,1,True
67468,0.995950707912445,1,True
26861,0.9959340186119079,1,True
34139,0.9959008784294128,1,True
36498,0.9959008784294128,1,True
76611,0.9958961696624755,1,True
56789,0.9958647580146789,1,True
35974,0.9958628506660461,1,True
35883,0.9958413333892822,1,True
25903,0.9958183259963989,1,True
35702,0.995815107345581,1,True
35932,0.9958109350204467,1,True
95980,0.9957398862838744,1,True
54902,0.9956684799194335,1,True
29807,0.9956246705055236,1,True
35131,0.9956099481582641,1,True
65948,0.995502242565155,1,True
95958,0.9954535455703735,1,True
27752,0.9954511613845825,1,True
57512,0.9953516216278075,1,True
75992,0.9952487440109252,1,True
97968,0.9951402740478515,1,True
97346,0.9951104016304015,1,True
6997,0.995107253074646,1,True
37989,0.9950897889137268,1,True
77989,0.9950896697044372,1,True
70991,0.9950708346366882,1,True
47945,0.9950396018028259,1,True
37941,0.9950166540145874,1,True
76903,0.995008011341095,1,True
17964,0.9950058059692383,1,True
16142,0.9949960904121399,1,True
67144,0.9949643211364746,1,True
54986,0.9949619965553284,1,True
54979,0.9949599103927612,1,True
56924,0.9949532346725464,1,True
90793,0.9949109153747558,1,True
67958,0.9948790864944458,1,True
4972,0.9948718147277832,1,True
7822,0.99486603307724,1,True
77987,0.9948462443351745,1,True
87678,0.9948387341499328,1,True
97614,0.9948375420570373,1,True
36944,0.9948328928947449,1,True
17951,0.9948266344070434,1,True
6819,0.9948265748023987,1,True
95712,0.9948225812911987,1,True
57992,0.9948187069892883,1,True
57999,0.9948030309677124,1,True
37864,0.9948026733398437,1,True
16161,0.9947982625961304,1,True
56986,0.994789321899414,1,True
66953,0.9947815136909485,1,True
81986,0.994777937412262,1,True
56999,0.9947560029029846,1,True
15982,0.9947517113685608,1,True
67779,0.9947461681365967,1,True
24995,0.9947457509040832,1,True
64689,0.9947169618606567,1,True
15388,0.9946987228393555,1,True
34985,0.9946972327232361,1,True
5998,0.994691153049469,1,True
54110,0.9946893649101257,1,True
57837,0.9946856098175049,1,True
86499,0.9946676092147827,1,True
17975,0.9946646289825439,1,True
25969,0.9946630792617798,1,True
6071,0.9946484761238098,1,True
86998,0.994638343334198,1,True
37608,0.9946149187088013,1,True
6435,0.9946055607795715,1,True
77532,0.9946051926612853,1,True
37960,0.9945900039672851,1,True
66986,0.9945789771080017,1,True
26746,0.9945724205970764,1,True
44927,0.9945697383880615,1,True
37753,0.9945548968315124,1,True
57487,0.9945463137626648,1,True
57655,0.9945110874176025,1,True
16642,0.9944728212356567,1,True
44989,0.9944725232124328,1,True
65621,0.9944051103591919,1,True
95987,0.9944010572433472,1,True
47421,0.9943835334777832,1,True
4758,0.9943606452941894,1,True
7947,0.9943467574119568,1,True
95537,0.9943427639007568,1,True
17896,0.9943179087638855,1,True
87818,0.9943003253936767,1,True
25855,0.9942994909286499,1,True
27854,0.9942842917442322,1,True
44865,0.9942529397010803,1,True
56856,0.9942506151199341,1,True
65560,0.9942385749816894,1,True
7515,0.9941925005912781,1,True
14984,0.9941154317855835,1,True
66623,0.9941151933670044,1,True
15928,0.9940701322555542,1,True
25669,0.994043906211853,1,True
4998,0.9940213756561279,1,True
64835,0.9939903812408447,1,True
76707,0.9939572410583496,1,True
97552,0.9939432339668274,1,True
17570,0.9939400153160095,1,True
96593,0.9937775926589966,1,True
27509,0.993716329574585,1,True
16961,0.9936124386787415,1,True
57420,0.9935921730995179,1,True
6161,0.9935907425880433,1,True
65140,0.9935890140533448,1,True
57965,0.9935550990104676,1,True
76987,0.9935500326156617,1,True
46964,0.9935490193367005,1,True
96986,0.9935197534561158,1,True
36416,0.9935123028755188,1,True
26991,0.9935062232017517,1,True
6992,0.9934973421096802,1,True
85986,0.993495792388916,1,True
36537,0.9934949579238892,1,True
6993,0.9934948387145996,1,True
66978,0.9934927525520325,1,True
27995,0.9934899511337281,1,True
67866,0.993483335018158,1,True
47791,0.9934758844375611,1,True
27941,0.9934753479957581,1,True
